user_id	H	SD	SH	PD	type_player_numerical
305	1.0100	0.7600	0.3433	0.3433	0.3334
306	0.5100	0.5100	0.5100	0.0100	0.6667
307	1.0100	0.0100	0.6100		
308	0.6767	0.0100	0.0100	0.0100	0.6667
309	0.7243	0.2600		0.0100	0.6667
310	1.0100	0.0100	0.2600	0.0100	0.0001
311	0.8671	0.6767	0.0100	0.0100	0.6667
312	1.0100	0.6100	0.7600	0.0100	0.0001
313	1.0100	0.2100	0.3433	0.2100	0.3334
314	0.8100	0.5100	0.8433	0.0100	0.6667
315	1.0100	0.6767	0.2600	0.0100	0.0001
316	1.0100	0.3433	0.0100	0.0100	0.0001
317	1.0100	1.0100	0.2600	0.5100	0.3334
318	1.0100	0.4544	0.6767	1.0100	0.3334
319	1.0100	0.0100			
320	0.2100	0.6767	1.0100	1.0100	1.0001
321	1.0100	0.0100	0.6767	0.4100	0.3334
322	0.3433	0.5100	0.6767	0.0100	0.6667
323	1.0100	0.0100	0.8433	0.2600	0.3334
324	0.6767	0.0100	0.6767	0.2600	1.0001
325	1.0100	0.4100	0.3433	0.0100	0.0001
326	1.0100	0.6767	0.0100	0.0100	0.0001
327	0.3433	1.0100	0.3433		
328	0.6767	0.0100	0.2600	0.0100	0.6667
329	1.0100	0.0100	0.6767	0.3433	0.3334
330	0.8100	0.0100	0.0100	0.0100	0.6667
331	0.7243	0.0100	0.0100	0.0100	0.6667
332	1.0100	0.2600	1.0100	0.0100	0.0001
333	1.0100	0.5100	0.5100	0.3433	0.3334
334	0.8671	0.6767	0.3433	0.0100	0.6667
335	0.7600	0.0100	0.5100	0.5100	1.0001
336	0.6767	0.0100	0.0100	0.0100	0.6667
337	0.2600	0.6100	0.0100	0.3433	1.0001
338	1.0100	0.4386	0.2600	1.0100	0.3334
339	1.0100	0.0100	1.0100	0.0100	0.0001
340	1.0100	0.7600	0.0100	0.0100	0.0001
341	0.6767	0.0100	0.2600	1.0100	1.0001
342	1.0100	0.5100	0.0100	0.4100	0.3334
343	0.6767	0.0100	0.0100	0.0100	0.6667
344	0.0100	0.0100	0.5100	0.0100	0.6667
345	0.6767	0.6767	0.0100	0.2100	1.0001
346	0.5100	0.0100	0.2600	0.0100	0.6667
347	0.3433	0.0100	0.0100	0.0100	0.6667
348	1.0100	0.3433	0.4100	0.0100	0.0001
349	1.0100	0.2100	0.6767	0.0100	0.0001
350	1.0100	0.0100	0.0100	0.0100	0.0001
351	1.0100	0.6100	0.2600	0.0100	0.0001
352	1.0100	0.5100	0.7600	0.0100	0.0001
353	1.0100	0.5100	0.0100	0.0100	0.0001
354	1.0100	1.0100	1.0100	0.6767	0.3334
355	1.0100	1.0100	1.0100	0.0100	0.0001
356	1.0100	0.7600	0.6767	0.3433	0.3334
357	1.0100	1.0100	0.2600		
358	0.3433	1.0100	0.5100	0.0100	0.6667
359	0.7600	1.0100	0.0100	0.0100	0.6667
360	0.0100	0.1767	0.0100	0.1767	1.0001
361	1.0100		0.3433	0.0100	0.0001
362	0.5100	0.2600	0.0100	0.3433	1.0001
363	0.0100	0.0100	0.3433	1.0100	1.0001
365	0.5100	0.0100	0.0100	0.0100	0.6667
366	0.3433	0.0100	0.5100	0.8100	1.0001
367	1.0100	0.2100	0.2600	0.2600	0.3334
368	0.6767	0.0100	0.5100	0.0100	0.6667
369	1.0100	0.0100	1.0100	0.0100	0.0001
370	1.0100	1.0100	1.0100	0.6767	0.3334
371	0.7600		0.2100	0.0100	0.6667
372	1.0100	0.0100	0.0100	0.0100	0.0001
373	1.0100	0.0100	0.0100	0.0100	0.0001
374	1.0100	0.5100	0.7600	0.0100	0.0001
375	1.0100	0.0100	0.0100	0.0100	0.0001
376	0.8100	0.0100	0.5100	0.0100	0.6667
377	0.3433	0.0100	0.0100	0.0100	0.6667
378	1.0100	0.0100	0.0100	0.0100	0.0001
379	1.0100	0.6767	0.3433	0.3433	0.3334
380	0.7600	0.3433	0.5100	0.2100	1.0001
381	0.5100	0.4100	0.3433	0.5100	1.0001
382	1.0100	0.0100	0.0100	0.0100	0.0001
383	1.0100	1.0100	0.6100	0.3433	0.3334
384	0.7600	0.7600	1.0100	1.0100	1.0001
385	1.0100	0.5100	0.5100	0.0100	0.0001
387	0.6767	0.0100		0.4100	1.0001
388	1.0100	1.0100	1.0100	0.5100	0.3334
389	1.0100	0.3433	1.0100	0.6767	0.3334
390	0.6767	0.0100	0.5100	0.0100	0.6667
391	1.0100	0.6767	0.6100	0.0100	0.0001
392	1.0100	0.5100	1.0100	0.3433	0.3334
393	1.0100	0.1767	0.2600	0.2600	0.3334
394	0.6767	0.0100	0.7600	0.0100	0.6667
395	1.0100	0.0100	0.7600	0.6767	0.3334
396	0.5100	0.0100	0.2600	0.0100	0.6667
397	1.0100	0.7600	0.2600	0.0100	0.0001
398	1.0100	0.6100	0.5100	0.0100	0.0001
399	0.0100	0.5100	0.0100		
400	0.7600	0.0100	0.0100	0.0100	0.6667
401	1.0100	0.3433	0.5100	0.0100	0.0001
402	0.3433	0.2100	1.0100	0.0100	0.6667
403	0.3433	0.4100	0.5100	1.0100	1.0001
404	1.0100	0.8100	0.3433	1.0100	0.3334
405	0.7600	0.0100	0.4100	0.0100	0.6667
406	1.0100	0.0100	0.5100	0.0100	0.0001
407	0.6767	0.0100	0.0100	0.4100	1.0001
408		0.6767	0.5100	0.6767	
